theta= 220.709554604, alpha= 39.08620586, l_beta= 22.7230460498, h_beta= 11.5747482328, gamma= 6.05225164786
theta= 104.956021251, alpha= 49.7720464736, l_beta= 33.6563596477, h_beta= 15.3601857139, gamma= 10.0855883698
theta= 114.205742455, alpha= 44.6145716038, l_beta= 22.7764273068, h_beta= 12.3413826767, gamma= 8.9023633223
theta= 108.514151642, alpha= 34.1994743076, l_beta= 27.4052476813, h_beta= 12.5013525208, gamma= 6.61830542017
theta= 143.662126962, alpha= 41.8304228753, l_beta= 32.3867353218, h_beta= 20.056547729, gamma= 15.5421755647
theta= 220.709554604, alpha= 39.08620586, l_beta= 22.7230460498, h_beta= 11.5747482328, gamma= 6.05225164786
theta= 104.956021251, alpha= 49.7720464736, l_beta= 33.6563596477, h_beta= 15.3601857139, gamma= 10.0855883698
theta= 114.205742455, alpha= 44.6145716038, l_beta= 22.7764273068, h_beta= 12.3413826767, gamma= 8.9023633223
theta= 108.514151642, alpha= 34.1994743076, l_beta= 27.4052476813, h_beta= 12.5013525208, gamma= 6.61830542017
theta= 143.662126962, alpha= 41.8304228753, l_beta= 32.3867353218, h_beta= 20.056547729, gamma= 15.5421755647
theta= 220.709554604, alpha= 39.08620586, l_beta= 22.7230460498, h_beta= 11.5747482328, gamma= 6.05225164786
theta= 104.956021251, alpha= 49.7720464736, l_beta= 33.6563596477, h_beta= 15.3601857139, gamma= 10.0855883698
theta= 114.205742455, alpha= 44.6145716038, l_beta= 22.7764273068, h_beta= 12.3413826767, gamma= 8.9023633223
theta= 108.514151642, alpha= 34.1994743076, l_beta= 27.4052476813, h_beta= 12.5013525208, gamma= 6.61830542017
theta= 143.662126962, alpha= 41.8304228753, l_beta= 32.3867353218, h_beta= 20.056547729, gamma= 15.5421755647
theta= 220.709554604, alpha= 39.08620586, l_beta= 22.7230460498, h_beta= 11.5747482328, gamma= 6.05225164786
theta= 104.956021251, alpha= 49.7720464736, l_beta= 33.6563596477, h_beta= 15.3601857139, gamma= 10.0855883698
theta= 114.205742455, alpha= 44.6145716038, l_beta= 22.7764273068, h_beta= 12.3413826767, gamma= 8.9023633223
theta= 108.514151642, alpha= 34.1994743076, l_beta= 27.4052476813, h_beta= 12.5013525208, gamma= 6.61830542017
theta= 143.662126962, alpha= 41.8304228753, l_beta= 32.3867353218, h_beta= 20.056547729, gamma= 15.5421755647
theta= 13.0933846983, alpha= 1.78757981697, l_beta= 3.39614438912, h_beta= 2.27304330773, gamma= 1.91865131453
theta= 2.76361598942, alpha= 11.6591650959, l_beta= 6.3166919217, h_beta= 5.38439446663, gamma= 5.54633093042
theta= 3.5884796642, alpha= 3.62687932589, l_beta= 2.57722730775, h_beta= 0.632360038924, gamma= 0.584982358725
theta= 7.52632745509, alpha= 1.52226717513, l_beta= 3.22709607723, h_beta= 2.63932585247, gamma= 2.76928831099
theta= 12.6766229691, alpha= 1.76363994821, l_beta= 2.90495486287, h_beta= 1.80475322005, gamma= 2.01093113008
